Designator,Mid X,Mid Y,Layer,Rotation
U$1,-30.48mm,0mm,T,0
D1,2.032mm,51.689mm,T,270
D2,1.143mm,65.532mm,T,90
C11,4.572mm,51.816mm,T,90
C12,3.302mm,64.516mm,T,270
U$2,-25mm,100mm,T,0
U$4,-25mm,50mm,T,0
U$13,-12.5mm,100mm,T,0
U$3,-12.5mm,50mm,T,0
U$5,-25mm,37.5mm,T,0
U$6,-25mm,84.375mm,T,0
U$17,-12.5mm,37.5mm,T,0
U$12,-25mm,6.25mm,T,0
U$14,-25mm,18.75mm,T,0
U$15,25mm,100mm,T,180
U$16,25mm,87.5mm,T,180
U$18,-12.5mm,6.25mm,T,0
U$19,12.5mm,100mm,T,180
U$9,25mm,6.25mm,T,180
U$20,25mm,56.25mm,T,180
U$25,12.5mm,6.25mm,T,180
U$26,12.5mm,56.25mm,T,180
U$27,25mm,68.75mm,T,180
U$28,25mm,21.875mm,T,180
U$30,12.5mm,68.75mm,T,180
R1,-10.922mm,88.773mm,T,0
R4,-10.922mm,91.821mm,T,180
R5,-14.224mm,94.615mm,T,0
R11,6.477mm,48.133mm,T,270
R12,6.985mm,45.847mm,T,0
R6,-3.556mm,39.751mm,T,0
R7,-3.556mm,30.988mm,T,0
R8,-0.508mm,45.593mm,T,180
R9,-0.635mm,32.893mm,T,180
R15,5.207mm,31.369mm,T,180
R16,6.731mm,33.147mm,T,180
R50,18.288mm,27.813mm,T,0
R52,11.557mm,12.319mm,T,180
R53,11.557mm,13.589mm,T,180
R55,3.429mm,89.281mm,T,270
R56,4.699mm,89.281mm,T,90
R58,7.62mm,78.232mm,T,90
R59,8.89mm,78.232mm,T,90
R60,4.064mm,82.296mm,T,180
R61,18.288mm,82.423mm,T,0
R64,14.732mm,92.075mm,T,0
R65,18.288mm,88.392mm,T,180
R3,-14.224mm,93.345mm,T,0
R22,-17.78mm,79.375mm,T,180
R23,-16.51mm,76.581mm,T,90
R51,13.589mm,31.496mm,T,0
R71,11.557mm,18.161mm,T,180
R72,12.319mm,15.875mm,T,90
R149,18.034mm,18.161mm,T,0
R147,-11.049mm,78.74mm,T,270
R10,9.398mm,45.085mm,T,90
R13,-2.794mm,44.831mm,T,90
R14,-3.048mm,33.655mm,T,270
R17,9.144mm,33.782mm,T,270
R54,5.207mm,91.567mm,T,180
R62,4.064mm,80.772mm,T,180
R63,18.292mm,80.873mm,T,0
R66,18.288mm,89.916mm,T,0
R2,-14.224mm,91.948mm,T,0
R57,10.795mm,15.875mm,T,270
R68,17.018mm,77.597mm,T,90
R40,-18.923mm,31.877mm,T,90
R148,5.08mm,60.452mm,T,0
R79,-5.461mm,17.145mm,T,180
R81,-5.842mm,8.255mm,T,0
R83,-4.191mm,12.573mm,T,180
R84,-4.191mm,9.525mm,T,180
R88,-20.32mm,26.416mm,T,0
R95,-8.509mm,17.272mm,T,180
R80,-2.413mm,17.145mm,T,0
R82,-5.842mm,6.731mm,T,0
R85,-11.43mm,13.589mm,T,0
R86,8.509mm,13.335mm,T,180
R91,-10.033mm,26.416mm,T,0
R93,-8.509mm,23.622mm,T,0
R34,-19.05mm,7.493mm,T,270
R35,-6.477mm,4.318mm,T,90
R37,5.08mm,2.921mm,T,90
R36,20.955mm,93.218mm,T,270
R87,-15.748mm,26.67mm,T,0
R89,-20.32mm,28.956mm,T,180
R92,-17.526mm,13.589mm,T,180
R94,-5.715mm,22.352mm,T,180
R96,-5.461mm,18.669mm,T,180
R24,5.207mm,87.122mm,T,180
R25,16.002mm,28.575mm,T,90
R26,5.207mm,84.074mm,T,0
R27,16.764mm,84.074mm,T,180
R28,16.764mm,86.614mm,T,180
R29,4.826mm,45.212mm,T,90
R30,-13.589mm,89.535mm,T,90
R31,1.778mm,45.212mm,T,270
R32,1.778mm,33.909mm,T,90
R33,4.318mm,33.909mm,T,90
U$8,-18.75mm,68.75mm,T,0
U$7,-3.125mm,84.375mm,T,0
U$29,18.75mm,37.5mm,T,180
U$31,3.125mm,21.875mm,T,180
D_1NEG,-12.5mm,29.6875mm,T,180
D_1POS,-25mm,29.6875mm,T,180
D_2NEG,12.5mm,76.5625mm,T,180
D_2POS,25mm,76.5625mm,T,180
C7,-10.922mm,90.297mm,T,0
C8,6.985mm,44.069mm,T,0
C9,-0.508mm,44.069mm,T,180
C10,-0.635mm,34.417mm,T,180
C13,6.731mm,34.417mm,T,0
C29,18.288mm,29.337mm,T,0
C30,5.969mm,89.281mm,T,90
C31,6.35mm,81.534mm,T,270
C32,16.002mm,81.661mm,T,270
C33,16.002mm,89.154mm,T,90
C49,-13.589mm,78.613mm,T,90
C23,3.048mm,45.212mm,T,270
C24,3.048mm,33.909mm,T,270
C37,5.207mm,85.344mm,T,0
C38,-4.191mm,11.303mm,T,180
C1,-14.859mm,89.535mm,T,270
C2,-14.859mm,78.613mm,T,270
C3,14.732mm,28.575mm,T,270
C4,14.732mm,17.399mm,T,270
C5,-8.509mm,24.892mm,T,180
C6,16.764mm,85.344mm,T,0
C21,6.604mm,10.922mm,T,180
C22,-14.478mm,13.589mm,T,180
C16,-5.334mm,1.27mm,T,0
C17,5.842mm,5.207mm,T,0
C25,-3.429mm,14.605mm,T,90
C26,-3.429mm,7.493mm,T,270
C15,-4.953mm,4.318mm,T,90
C18,6.604mm,2.921mm,T,90
C27,-19.05mm,19.304mm,T,270
C28,6.096mm,14.097mm,T,90
C35,-20.32mm,27.686mm,T,0
C36,-19.05mm,16.256mm,T,90
C39,-8.509mm,22.352mm,T,180
C40,-8.509mm,18.669mm,T,180
J1,-3.125mm,59.375mm,B,270
U2,5.08mm,57.404mm,T,90
IC4,3.048mm,39.116mm,T,180
IC11,11.176mm,85.344mm,T,270
IC2,-14.859mm,84.074mm,T,180
IC3,14.732mm,22.86mm,T,180
IC1,1.27mm,10.922mm,T,90
U$32,-14.224mm,20.447mm,T,270
IC5,0.381mm,3.175mm,T,270
D3,-7.239mm,14.859mm,T,180
