"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"JACK7,JACK2,JACK8,JACK5,JACK3,JACK9,JACK1,JACK10,JACK6,JACK4";"3.5MM-JACK-SWITCH-13MM-NOHOLES-TESTPAD";10;"AUDIO-JACK_SMALLSYMBOL";;;
2;"D10,D24,D31,D7,D40,D27,D4,D26,D16,D9,D21,D25,D20,D35,D11,D3,D28,D30,D29,D34,D6,D5,D13,D22,D32,D14,D8,D33,D12,D17";"LED_0603_1608Metric";30;"C72038";;;
3;"R15,R16,R14,R41,R1,R21,R40,R72,R23,R11,R18,R28,R3";"R0603";13;"100k";;;
4;"R26,R73,R19,R20,R52,R39";"R0603";6;"10k";;;
5;"C20,C22,C31,C28,C6,C27,C17,C38,C4,C36,C40,C10,C44,C21,C37,C41,C45,C24,C25,C35,C7,C19,C14,C12,C99,C26,C29,C43,C30,C18";"C0402";30;"100nF";;;
6;"C11";"C0805";1;"22u";;;
7;"FID5,FID4,FID3,FID2,FID1,FID6";"Fiducial_1mm_Mask2mm";6;"Fiducial";;;
8;"C3,C2";"C0603";2;"33pF C0G";;;
9;"IC10";"SO16";1;"4052D";;;
10;"R2,R12,R13,R22";"R0603";4;"33k";;;
11;"IC6,IC8,IC5,IC9,IC7";"QFN50P250X350X100-17N";5;"74HC595BQ";;;
12;"D2,D1";"DO-214AC";2;"C8678";;;
13;"C1,C9,C15,C16";"C0603";4;"3.3nF";;;
14;"R38,R35";"R0402";2;"2k";;;
15;"LP10,LP5,LP9,LP1,LP8,LP3,LP2,LP7,LP4,LP11,LP12,LP6";"LightpipeHole";12;"Lightpipehole";;;
16;"R25,R24";"R0603";2;"100";;;
17;"R7,R9";"R0603";2;"38.3k 0.1%";;;
18;"OUTLINE1";"EURORACK12HPPCB";1;"EURORACK_PCB12HP";;;
19;"R27,R29,R30,R10";"R0603";4;"56";;;
20;"C23,C48,C5";"CASE-A_3216";3;"10uF";;;
21;"U2";"SOT-23-5";1;"AT24CS01-STUM";;;
22;"RN5,RN3,RN7,RN2,RN6,RN1,RN9";"4X0402ARV341";7;"56";;;
23;"Q1,Q5,Q3,Q2";"SOT23-BEC";4;"MMBT3904";;;
24;"R5,R8,R37,R36";"R0603";4;"187k 0.1%";;;
25;"C39";"C3216";1;"4.7n 100v";;;
26;"R74";"R0603";1;"1M";;;
27;"U$28,U$1";"PB6149L";2;"SWITCH_W_LED_PB6149L-X-102YELLOW";;;
28;"U$2";"QFN-56";1;"RP2040";;;
29;"C100,C34";"C0402";2;"1u";;;
30;"R4,R6";"R0402";2;"27";;;
31;"L1,L2,L4";"L0805";3;"0.1uH C76737 ";;;
32;"C33,C32";"C0402";2;"27p";;;
33;"U1";"SOT95P237X112-3N";1;"LM4040DIM3-5.0";;;
34;"R34";"R0402";1;"10k DNP";;;
35;"Q4";"NX3225";1;"12mhz";;;
36;"U$5";"SOT23-6";1;"BL9342";;;
37;"R68,R42,R17,R45,R69,R44";"ALPS_POT_SQUAREHOLES";6;"10kB";;;
38;"C46";"C0402";1;"33p";;;
39;"L3";"L0420";1;"4.7uH";;;
40;"R32";"R0603";1;"16.2k";;;
41;"C42";"C0402";1;"10n";;;
42;"IC4";"SO14";1;"MCP6004";;;
43;"R33,R103";"R0402";2;"1k";;;
44;"U$25";"SOIC-8";1;"W25Q256JVEIQTR";;;
45;"D18";"SOD123";1;"D-SOD-123";;;
46;"J1";"C132563";1;"MICRO-USB-5P";;;
47;"R31";"R0603";1;"49.9k";;;
48;"IC2";"SO08";1;"TL072";;;
49;"C8";"C0805";1;"10uF";;;
50;"IC3";"SOIC8-N_MC";1;"MCP4822-E/SN";;;
51;"J14";"POWER_16_SHROUDED";1;"POWERSHROUDED";;;
52;"SW1";"SW_Push_1P1T_NO_6x6mm_H9.5mm";1;"SW_Push";;;
53;"TP1";"B1,27";1;"PTR1B1,27";;;
54;"SWD2";"M50-3600542";1;"CORTEX_SWD";;;
