Comment,Designator,Footprint,LCSC Part #,combinedname,name
10kA,"R1, R2, R3",ALPS_POT_SQUAREHOLES,,POT_ALPS_POT_SQUAREHOLES_10kA,POT
JACK,"J1, J2, J3, J4, J5, J6, J7, J8, J9, J10, J11, J12, J13, J14, J15, J16",3.5MM-JACK-SWITCH-13MM-NOHOLES,,AUDIO-JACK_SMALLSYMBOL_3.5MM-JACK-SWITCH-13MM-NOHOLES_JACK,AUDIO-JACK_SMALLSYMBOL
,"D1, D2, D3, D4, D5, D6, D7",3MMLED,,LED*_3MMLED_,LED*
VOLTAGETESTPAD,"U$1, U$2, U$3, U$4, U$5, U$6, U$7, U$9, U$10, U$11, U$12, U$13, U$14, U$15, U$16, U$17, U$18, U$19, U$20, U$21, U$22, U$23",POWERTESTPAD,,VOLTAGETESTPAD_POWERTESTPAD_VOLTAGETESTPAD,VOLTAGETESTPAD
M08X2,"U$8",2X8,,M08X2_2X8_M08X2,M08X2
SOLDERJUMPERNC,"SJ1, SJ2, SJ3",SJ_2S,,SOLDERJUMPER_SJ_2S_SOLDERJUMPERNC,SOLDERJUMPER
2k,"R4, R5, R6, R7, R8, R9, R10",R0603,,R*_R0603_2k,R*
56k,"R11",R0603,,R*_R0603_56k,R*
100k,"R12, R13, R16, R17, R18",R0603,,R*_R0603_100k,R*
56,"R14, R15, R19",R0603,,R*_R0603_56,R*
470n,"C3, C1, C2",C5B4.5,,C_C5B4.5_470n,C
TL072,"IC1",SO08,,TL072_SO08_TL072,TL072
100n,"C4, C5",C0603,,C*_C0603_100n,C*
10u,"C6, C7",CASE-A_3216,,C-POLAR*_CASE-A_3216_10u,C-POLAR*
